stationID,stationType,nameTH,nameEN,lat,long,areaTH,areaEN
03t,GROUND,ริมถนนทางหลวงหมายเลข 3902 ,Highway NO.3902 km.13 +600,13.636514,100.414262,"ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ","Kanchanaphisek Rd, Bang Khun Thian, Bangkok"
05t,GROUND,กรมอุตุนิยมวิทยาบางนา,Thai Meteorological Department ,13.666113,100.605741,"แขวงบางนา, เขตบางนา, กรุงเทพฯ","Bang Na, Khet Bang Na, Bangkok"
10t,GROUND,เคหะชุมชนคลองจั่น,National Housing Authority Klongchan,13.779539,100.645654,"แขวงคลองจั่น, เขตบางกะปิ, กรุงเทพฯ","Khlong Chan, Khet Bang Kapi, Bangkok"
11t,GROUND,การเคหะชุมชนห้วยขวาง ,National Housing  Huaykwang,13.775516,100.569206,"แขวงดินแดง, เขตดินแดง, กรุงเทพฯ","Din Daeng, Khet Din Daeng, Bangkok"
50t,GROUND,โรงพยาบาลจุฬาลงกรณ์,Chulalongkorn Hospital,13.729984,100.536443,"ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ","Rama IV Rd. Khet Pathum Wan, Bangkok"
52t,GROUND,การไฟฟ้าย่อยธนบุรี ,Thonburi Power Sub-Station,13.727557,100.486604,"ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ","Intarapitak Rd. Khet Thon Buri, Bangkok"
53t,GROUND,สถานีตำรวจนครบาลโชคชัย ,Chokchai Police Station,13.795414,100.592899,"ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd. Khet Wang Thonglang, Bangkok"
54t,GROUND,การเคหะชุมชนดินแดง ,National Housing Authority Dindaeng,13.762609,100.550361,"ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng Rd. Khet Din Daeng, Bangkok"
59t,GROUND,กรมประชาสัมพันธ์,The Government Public Relations Department ,13.783143,100.540529,"แขวงพญาไท, เขตพญาไท, กรุงเทพฯ","Phaya Thai, Khet Phaya Thai, Bangkok"
61t,GROUND,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,Bodindecha Sing Singhaseni School,13.76963,100.614562,"แขวงพลับพลา, เขตวังทองหลาง, กรุงเทพฯ","Pubpla, Khet Wang Thonglang, Bangkok"
m116,MOBILE,การประปาเทศบาลนครปฐม,"Municipal waterworks, Nakhon Pathom",13.830333,100.053471,"ต.นครปฐม อ.เมืองนครปฐม, นครปฐม","Mueang, Nakhon Pathom"
13t,GROUND,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,EGAT,13.807156,100.506319,"ต.บางกรวย, อ.บางกรวย, นนทบุรี","Bang Krua, Bang Kruai, Nonthaburi"
22t,GROUND,มหาวิทยาลัยสุโขทัยธรรมาธิราช ,Sukhothai Thammathirat Open University,13.90794,100.535599,"ต.บางพูด, อ.ปากเกร็ด, นนทบุรี","Bang Phut, Pak Kret, Nonthaburi"
20t,GROUND,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต ,Bangkok University Rangsit Campus,14.037512,100.605124,"ต.คลองหนึ่ง,อ.คลองหลวง, ปทุมธานี","Khlong Nueng, Khlong Luang, Pathum Thani"
08t,GROUND,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ ,Prabadang Rehabiltation Center,13.664023,100.543406,"ต.ทรงคนอง อ.พระประแดง, สมุทรปราการ","Song Kanong, Phra Pradaeng, Samut Prakan"
17t,GROUND,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,Residence for Dept. of Mineral Resources,13.652154,100.53184,"ต.ตลาด อ.พระประแดง, สมุทรปราการ","Talat, Phra Pradaeng, Samut Prakan"
18t,GROUND,ศาลากลางจังหวัดสมุทรปราการ ,City Hall,13.599172,100.597332,"ต.ปากน้ำ อ.เมือง, สมุทรปราการ","Pak Nam, Meuang, Samut Prakan"
19t,GROUND,การเคหะชุมชนเมืองใหม่บางพลี ,National Housing Authority Bangplee,13.570333,100.785866,"ต.บางเสาธง,อ.บางเสาธง, สมุทรปราการ","Bang Sao Thong, Bang Sao Thong, Samut Prakan "
14t,GROUND,แขวงการทางสมุทรสาคร ,Highway District,13.705458,100.315675,"ต.อ้อมน้อย, อ.กระทุ่มแบน, สมุทรสาคร","Om Noi, Krathum Baen, Samut Sakhon"
27t,GROUND,โรงเรียนสมุทรสาครวิทยาลัย,Samut Sakhon Wittayalai School,13.550478,100.264254,"ริมถนนคู่ขนานพระราม 2  อ.เมือง, สมุทรสาคร","Maha Chai, Mueang, Samut Sakhon"
